Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),red,blue white,white,yellowish white,pale yellow orange,blue,blue-white,whitish,yellow-white,orange,white-yellow,yellowish,orange-red,O,B,A,F,G,K,M,Star type
0.0767,0.000000002825457371,0.00008724659995,0.8767979987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.07605,0.0000000005886369523,0.00007913779831,0.8918073796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.065,0.0000000003531821714,0.00005234795997,0.9574734209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.07,0.0000000002354547809,0.00008211444701,0.8933708568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.048475,0.0000000001624637988,0.00005286117526,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.071,0.000000000765228038,0.00005645368232,0.9036898061,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.065925,0.0000000008594099503,0.00006517834231,0.9111944966,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.065,0.0000000004709095618,0.00004926866821,0.9168230144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.06625,0.0000000008123189941,0.00005645368232,0.9183864916,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0675,0.0000000002119093028,0.0000667179882,0.8746091307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.09,0.000000003414094323,0.0002617397998,0.7070043777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.078225,0.00000001436274164,0.000193020272,0.7414008755,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.07835,0.0000000004709095618,0.0001005901976,0.7858036273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0907,0.000000006475006475,0.0002016936105,0.7004377736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.06625,0.0000000007063643427,0.00007185014113,0.7411507192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0835,0.000000004473640837,0.0001231716705,0.7814258912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.069975,0.000000002119093028,0.00008211444701,0.8352095059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0923,0.00000000432059523,0.0002412111881,0.7104440275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0798,0.000000004261731534,0.0001009494483,0.7958098812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.086025,0.00000004591368228,0.0001801385681,0.722326454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.625,0.00000006592733865,0.000004311008468,0.703564728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
0.1935,0.0000000005768642132,0.000006333076726,0.8111319575,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
0.1805,0.0000000002001365638,0.000005645368232,0.8176985616,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
0.2125,0.0000000005886369523,0.000005132152938,0.8261413383,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
0.4125,0.00000001530456076,0.000007185014113,0.7445278299,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
0.32475,0.0000000001000682819,0.000005050038491,0.7551594747,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
0.21425,0.0000000009535918627,0.00000497818835,0.8167604753,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
0.1925,0.0000000001295001295,0.000006569155761,0.825203252,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
0.29475,0.0000000001765910857,0.000005645368232,0.7664165103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
0.18075,0,0.00000667179882,0.8130081301,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
0.975,0.2401638765,0.005440082114,0.2257661038,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
0.75,0.03395257941,0.003233256351,0.2414008755,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
0.3819,0.001337383156,0.003695150115,0.3111319575,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
0.2425,0.00008711826894,0.001483192199,0.3777360851,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
0.145,0.0000009535918627,0.0004618937644,0.5306441526,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
0.2013,0.00001024228297,0.0009237875289,0.4484052533,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3
0.168925,0.000001683501684,0.0005748011291,0.4480925578,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
0.1595,0.000001589319771,0.0005029509879,0.4643527205,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
0.1484,0.000001597560688,0.000567616115,0.512195122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
0.139675,0.0000009641873278,0.0005080831409,0.5300187617,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
0.09565,0.2354547809,0.009751090582,0.1560350219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
0.084125,0.4002731275,0.01180395176,0.1788617886,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
0.08175,0.1765910857,0.04516294586,0.1844903064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
0.08,0.2295684114,0.008724659995,0.1469668543,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
0.0752,0.3296366933,0.01283038235,0.1851156973,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
0.09,0.3767276495,0.01488324352,0.1663539712,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
0.089375,0.1448046903,0.02309468822,0.1607254534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
0.08935,0.2354547809,0.04567616115,0.2088805503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
0.090625,0.2166183984,0.04311008468,0.1619762351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
0.84375,0.259000259,0.01334359764,0.181988743,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
0.08725,0.3178639542,0.7800872466,0.07879924953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0.09375,0.333168515,0.6466512702,0.1341463415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0.09585,0.320218502,0.6071336926,0.08505315822,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0.093725,0.6475006475,0.8457788042,0.1210131332,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5
0.09125,0.3649549104,0.679497049,0.1291432145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0.08625,0.3096230369,0.6923274314,0.005315822389,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0.0915,0.4273504274,0.8586091866,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0.08625,0.2048456594,0.6589684373,0.02001250782,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0.0938,0.2460502461,0.4901206056,0.02126328956,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0.088375,0.2295684114,0.7934308442,0.01751094434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0.083525,0.000000006592733865,0.00002925327175,0.8802376485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0858,0.000000000788773516,0.00009751090582,0.9024390244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.074575,0.0000000002825457371,0.00004824223762,0.8758599124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.070875,0.0000000004002731275,0.00004711316397,0.9030644153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.073375,0.0000000001648183466,0.00005953297408,0.9634146341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.082375,0.000000001153728426,0.00006774441878,0.9083802376,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.073625,0.0000000003767276495,0.00004772902232,0.9462163852,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.070425,0.000000001153728426,0.00004675391327,0.8871169481,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.06935,0.0000000004238186056,0.00006055940467,0.9165103189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.071775,0.0000000008476372113,0.00006158583526,0.9803001876,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.083625,0.000000024722752,0.0001401077752,0.7573483427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.090175,0.0000000259000259,0.0001950218116,0.689180738,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0826,0.00000001000682819,0.00009237875289,0.7854909318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.07875,0.00000001036001036,0.0001796253528,0.7460913071,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.08875,0.000000004709095618,0.0001493456505,0.7132582864,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0795,0.000000001177273905,0.0001796253528,0.7404627892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.07225,0.000000004002731275,0.0001231716705,0.7936210131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.08355,0.000000001765910857,0.0001575570952,0.743902439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.065525,0.0000000007063643427,0.00005029509879,0.7732958099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.07895,0.000000001589319771,0.0000826276623,0.8098811757,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1775,0.0000000003414094323,0.000006158583526,0.8133208255,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
0.26435,0.0000000001648183466,0.000004721580703,0.7485928705,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
0.22325,0.0000000006592733865,0.000004875545291,0.803627267,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
0.43,0.000000001153728426,0.000007698229407,0.7620387742,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
0.3525,0.000000000788773516,0.000004567616115,0.7532833021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
0.241875,0.000000000529773257,0.000005594046703,0.8098811757,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
0.30025,0.0000000009182736455,0.000004721580703,0.7520325203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
0.2745,0.0000000008711826894,0.000004464973056,0.7226391495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
0.343,0.0000000002119093028,0.000004577880421,0.7782989368,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
0.4965,0.000000001295001295,0.000006723120349,0.727329581,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
0.1325,0.0000006945916037,0.0004670259174,0.5444027517,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
0.11315,0.0000001801229074,0.0004439312292,0.5761726079,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3
0.101925,0.0000001000682819,0.0004080061586,0.5674796748,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3
0.1245,0.0000004202867839,0.000579933282,0.5222013759,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3
0.22575,0.0000529773257,0.001349756223,0.4180737961,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
0.28125,0.0007911280639,0.003582242751,0.3008130081,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
0.1278,0.0000007416825599,0.0004495765974,0.5190744215,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
0.193,0.000009324009324,0.0006877084937,0.4490306442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
0.30245,0.0008111417202,0.00359763921,0.373358349,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
0.9027,0.2331002331,0.005234795997,0.2351469669,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
0.8325,0.2825457371,0.006158583526,0.1694809256,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
1,0.9571236844,0.007185014113,0.1779237023,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
0.575,0.1495137859,0.01847575058,0.1926203877,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
0.428,0.2766593676,0.04259686939,0.1572858036,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
0.2774,0.1318546773,0.006158583526,0.1879299562,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
0.356125,0.271950272,0.02155504234,0.1813633521,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
0.61575,0.4273504274,0.03233256351,0.1904315197,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
0.322325,0.2166183984,0.01847575058,0.1744840525,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
0.608625,0.1671728944,0.02925327175,0.1776110069,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
0.835525,0.4144004144,0.03438542469,0.1916823014,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
0.086475,0.1177273905,0.6615345137,0.03814884303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0.090125,0.148336512,0.5768539902,0.03470919325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0.090375,0.2354547809,0.8391070054,0.01844903064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0.084975,0.1377410468,0.7626379266,0.03126954346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0.09025,0.1554001554,0.7811136772,0.03314571607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0.088825,0.1707047162,0.679497049,0.02782989368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0.100375,0.3319912411,0.7872722607,0.01657285804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
0.090625,0.08711826894,0.4495765974,0.05222013759,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
